,EKSO
2015-12-21,130.30499267578125
2015-12-22,129.14999389648438
2015-12-23,132.3000030517578
2015-12-24,132.3000030517578
2015-12-28,114.44999694824219
2015-12-29,110.25
2015-12-30,107.0999984741211
2015-12-31,107.0999984741211
2016-01-04,107.0999984741211
2016-01-05,103.84500122070312
2016-01-06,98.80500030517578
2016-01-07,88.7249984741211
2016-01-08,95.65499877929688
2016-01-11,91.3499984741211
2016-01-12,92.92500305175781
2016-01-13,92.19000244140625
2016-01-14,90.82499694824219
2016-01-15,87.1500015258789
2016-01-19,80.8499984741211
2016-01-20,75.5999984741211
2016-01-21,87.98999786376953
2016-01-22,92.4000015258789
2016-01-25,97.6500015258789
2016-01-26,95.0250015258789
2016-01-27,95.0250015258789
2016-01-28,93.55500030517578
2016-01-29,92.92500305175781
2016-02-01,93.44999694824219
2016-02-02,93.44999694824219
2016-02-03,92.92500305175781
2016-02-04,92.4000015258789
2016-02-05,92.4000015258789
2016-02-08,91.3499984741211
2016-02-09,86.625
2016-02-10,84.73500061035156
2016-02-11,82.63500213623047
2016-02-12,85.57499694824219
2016-02-16,88.7249984741211
2016-02-17,87.1500015258789
2016-02-18,93.9749984741211
2016-02-19,99.75
2016-02-22,97.125
2016-02-23,93.34500122070312
2016-02-24,93.76499938964844
2016-02-25,95.12999725341797
2016-02-26,95.55000305175781
2016-02-29,98.69999694824219
2016-03-01,94.5
2016-03-02,97.125
2016-03-03,97.125
2016-03-04,96.5999984741211
2016-03-07,95.55000305175781
2016-03-08,93.66000366210938
2016-03-09,93.34500122070312
2016-03-10,91.875
2016-03-11,90.72000122070312
2016-03-14,93.23999786376953
2016-03-15,89.66999816894531
2016-03-16,88.7249984741211
2016-03-17,89.25
2016-03-18,89.7750015258789
2016-03-21,88.83000183105469
2016-03-22,84.0
2016-03-23,82.94999694824219
2016-03-24,82.94999694824219
2016-03-28,81.9000015258789
2016-03-29,80.8499984741211
2016-03-30,79.2750015258789
2016-03-31,79.16999816894531
2016-04-01,76.86000061035156
2016-04-04,91.24500274658203
2016-04-05,87.1500015258789
2016-04-06,89.25
2016-04-07,103.84500122070312
2016-04-08,103.42500305175781
2016-04-11,101.8499984741211
2016-04-12,103.94999694824219
2016-04-13,102.9000015258789
2016-04-14,104.79000091552734
2016-04-15,105.0
2016-04-18,103.94999694824219
2016-04-19,101.32499694824219
2016-04-20,96.5999984741211
2016-04-21,95.0250015258789
2016-04-22,98.69999694824219
2016-04-25,100.2750015258789
2016-04-26,101.32499694824219
2016-04-27,98.59500122070312
2016-04-28,96.5999984741211
2016-04-29,95.44499969482422
2016-05-02,95.0250015258789
2016-05-03,93.44999694824219
2016-05-04,88.7249984741211
2016-05-05,88.7249984741211
2016-05-06,94.875
2016-05-09,105.0
2016-05-10,105.0
2016-05-11,106.80000305175781
2016-05-12,105.0
2016-05-13,104.25
2016-05-16,98.8499984741211
2016-05-17,90.5999984741211
2016-05-18,89.25
2016-05-19,80.25
2016-05-20,87.07499694824219
2016-05-23,88.80000305175781
2016-05-24,85.5
2016-05-25,85.125
2016-05-26,84.1500015258789
2016-05-27,84.77999877929688
2016-05-31,84.1500015258789
2016-06-01,81.5999984741211
2016-06-02,84.44999694824219
2016-06-03,85.5
2016-06-06,88.19999694824219
2016-06-07,94.875
2016-06-08,91.05000305175781
2016-06-09,90.9000015258789
2016-06-10,84.30000305175781
2016-06-13,82.5
2016-06-14,78.375
2016-06-15,78.0
2016-06-16,87.30000305175781
2016-06-17,84.1500015258789
