,CERE
2021-03-29,12.449999809265137
2021-03-30,12.369999885559082
2021-03-31,13.729999542236328
2021-04-01,13.149999618530273
2021-04-05,13.630000114440918
2021-04-06,12.970000267028809
2021-04-07,13.170000076293945
2021-04-08,13.329999923706055
2021-04-09,13.069999694824219
2021-04-12,13.569999694824219
2021-04-13,14.149999618530273
2021-04-14,15.3100004196167
2021-04-15,15.8100004196167
2021-04-16,15.649999618530273
2021-04-19,15.369999885559082
2021-04-20,14.489999771118164
2021-04-21,14.130000114440918
2021-04-22,14.699999809265137
2021-04-23,15.020000457763672
2021-04-26,15.529999732971191
2021-04-27,15.260000228881836
2021-04-28,15.489999771118164
2021-04-29,14.6899995803833
2021-04-30,14.550000190734863
2021-05-03,14.859999656677246
2021-05-04,14.670000076293945
2021-05-05,13.920000076293945
2021-05-06,13.779999732971191
2021-05-07,13.930000305175781
2021-05-10,12.979999542236328
2021-05-11,12.850000381469727
2021-05-12,13.720000267028809
2021-05-13,13.319999694824219
2021-05-14,13.600000381469727
