,BCOR
2000-03-22,860.0
2000-03-23,858.75
2000-03-24,878.125
2000-03-27,891.875
2000-03-28,833.4375
2000-03-29,725.3125
2000-03-30,651.25
2000-03-31,727.1875
2000-04-03,585.625
2000-04-04,537.734375
2000-04-05,525.625
2000-04-06,625.0
2000-04-07,745.78125
2000-04-10,632.5
2000-04-11,622.5
2000-04-12,551.875
2000-04-13,527.5
2000-04-14,487.5
2000-04-17,454.375
2000-04-18,556.875
2000-04-19,598.75
2000-04-20,575.625
2000-04-24,540.0
2000-04-25,650.0
2000-04-26,640.46875
2000-04-27,720.0
2000-04-28,718.125
2000-05-01,675.0
2000-05-02,652.5
2000-05-03,602.5
2000-05-04,640.0
2000-05-05,630.625
2000-05-08,565.625
2000-05-09,537.96875
2000-05-10,458.125
2000-05-11,487.5
2000-05-12,522.03125
2000-05-15,580.0
2000-05-16,600.0
2000-05-17,613.75
2000-05-18,590.0
2000-05-19,522.5
2000-05-22,529.375
2000-05-23,480.0
2000-05-24,462.5
2000-05-25,425.0
2000-05-26,415.0
2000-05-30,464.375
2000-05-31,433.75
2000-06-01,500.625
2000-06-02,550.625
2000-06-05,543.75
2000-06-06,497.5
2000-06-07,557.5
2000-06-08,600.0
2000-06-09,596.875
2000-06-12,554.375
2000-06-13,550.0
2000-06-14,503.125
2000-06-15,545.0
2000-06-16,515.0
2000-06-19,533.125
2000-06-20,573.125
2000-06-21,581.875
2000-06-22,560.0
2000-06-23,520.0
2000-06-26,568.75
2000-06-27,592.5
2000-06-28,583.75
2000-06-29,551.875
2000-06-30,552.5
2000-07-03,565.0
2000-07-05,571.25
2000-07-06,563.125
2000-07-07,520.0
2000-07-10,500.0
2000-07-11,433.75
2000-07-12,461.25
2000-07-13,513.125
2000-07-14,480.0
2000-07-17,494.375
2000-07-18,496.25
2000-07-19,482.5
2000-07-20,500.625
2000-07-21,480.625
2000-07-24,450.625
2000-07-25,463.125
2000-07-26,477.5
2000-07-27,345.0
2000-07-28,318.75
2000-07-31,337.5
2000-08-01,335.0
2000-08-02,314.375
2000-08-03,284.375
2000-08-04,298.125
2000-08-07,303.59375
2000-08-08,316.25
2000-08-09,313.75
2000-08-10,298.75
2000-08-11,301.875
2000-08-14,285.0
2000-08-15,276.25
2000-08-16,268.75
2000-08-17,281.875
2000-08-18,278.75
2000-08-21,271.875
2000-08-22,262.5
2000-08-23,292.5
2000-08-24,291.25
2000-08-25,285.625
2000-08-28,286.875
2000-08-29,319.375
2000-08-30,366.25
2000-08-31,390.0
2000-09-01,401.875
2000-09-05,431.875
2000-09-06,400.625
2000-09-07,415.625
2000-09-08,431.875
2000-09-11,403.125
2000-09-12,409.375
2000-09-13,392.5
2000-09-14,405.625
2000-09-15,380.0
2000-09-18,351.25
2000-09-19,373.125
2000-09-20,347.5
2000-09-21,321.25
2000-09-22,342.5
2000-09-25,312.5
2000-09-26,300.625
2000-09-27,285.625
2000-09-28,299.375
2000-09-29,302.5
2000-10-02,274.375
2000-10-03,256.25
2000-10-04,275.0
2000-10-05,248.125
2000-10-06,219.375
2000-10-09,230.0
2000-10-10,213.75
2000-10-11,197.5
2000-10-12,176.25
2000-10-13,191.875
2000-10-16,223.75
2000-10-17,186.25
2000-10-18,165.0
2000-10-19,192.5
2000-10-20,210.0
2000-10-23,216.25
2000-10-24,219.375
2000-10-25,203.125
2000-10-26,206.875
2000-10-27,194.375
2000-10-30,188.125
2000-10-31,201.25
2000-11-01,229.375
2000-11-02,241.25
2000-11-03,241.875
2000-11-06,233.125
2000-11-07,248.125
2000-11-08,230.625
2000-11-09,218.125
2000-11-10,203.75
2000-11-13,203.75
2000-11-14,216.875
2000-11-15,205.0
2000-11-16,194.375
2000-11-17,187.5
2000-11-20,168.125
2000-11-21,143.125
2000-11-22,126.25
2000-11-24,146.25
2000-11-27,142.5
2000-11-28,120.0
2000-11-29,123.75
2000-11-30,108.75
2000-12-01,113.75
2000-12-04,109.375
2000-12-05,138.75
2000-12-06,138.125
2000-12-07,123.125
2000-12-08,136.875
2000-12-11,111.875
2000-12-12,115.0
2000-12-13,116.71875
2000-12-14,108.125
2000-12-15,102.5
2000-12-18,89.6875
2000-12-19,78.59375
2000-12-20,62.5
2000-12-21,60.0
2000-12-22,68.75
2000-12-26,66.25
2000-12-27,90.9375
2000-12-28,85.3125
2000-12-29,88.4375
2001-01-02,77.5
2001-01-03,98.125
2001-01-04,89.375
2001-01-05,85.9375
2001-01-08,79.375
2001-01-09,76.25
2001-01-10,85.625
2001-01-11,90.3125
2001-01-12,90.625
2001-01-16,86.25
2001-01-17,90.3125
2001-01-18,86.875
2001-01-19,89.0625
2001-01-22,70.3125
2001-01-23,60.0
2001-01-24,68.75
2001-01-25,64.375
2001-01-26,60.9375
2001-01-29,60.0
2001-01-30,56.25
2001-01-31,52.8125
2001-02-01,48.75
2001-02-02,48.125
2001-02-05,42.5
2001-02-06,36.5625
2001-02-07,50.0
2001-02-08,50.9375
2001-02-09,47.5
2001-02-12,50.0
2001-02-13,39.6875
2001-02-14,36.875
2001-02-15,38.125
2001-02-16,36.25
2001-02-20,35.625
2001-02-21,34.375
2001-02-22,33.75
2001-02-23,41.5625
2001-02-26,41.875
2001-02-27,39.0625
2001-02-28,38.125
2001-03-01,37.1875
2001-03-02,35.3125
2001-03-05,35.3125
2001-03-06,36.5625
2001-03-07,35.625
2001-03-08,35.0
2001-03-09,34.6875
2001-03-12,35.0
2001-03-13,34.0625
2001-03-14,33.75
2001-03-15,32.5
2001-03-16,30.3125
2001-03-19,28.75
2001-03-20,26.875
2001-03-21,22.1875
2001-03-22,24.6875
2001-03-23,23.75
2001-03-26,25.0
2001-03-27,26.25
2001-03-28,22.8125
2001-03-29,21.5625
2001-03-30,22.1875
2001-04-02,20.3125
2001-04-03,17.1875
2001-04-04,18.125
2001-04-05,24.6875
2001-04-06,22.5
2001-04-09,22.700000762939453
2001-04-10,22.899999618530273
2001-04-11,24.200000762939453
2001-04-12,25.899999618530273
2001-04-16,29.0
2001-04-17,28.700000762939453
2001-04-18,30.200000762939453
2001-04-19,33.599998474121094
2001-04-20,40.400001525878906
2001-04-23,39.400001525878906
2001-04-24,35.5
2001-04-25,39.099998474121094
2001-04-26,40.400001525878906
2001-04-27,39.0
2001-04-30,44.0
2001-05-01,49.29999923706055
2001-05-02,56.400001525878906
2001-05-03,48.599998474121094
2001-05-04,50.0
2001-05-07,49.5
2001-05-08,48.79999923706055
2001-05-09,45.099998474121094
2001-05-10,44.0
2001-05-11,40.29999923706055
2001-05-14,38.0
2001-05-15,40.0
2001-05-16,43.900001525878906
2001-05-17,43.099998474121094
2001-05-18,43.0
2001-05-21,45.400001525878906
2001-05-22,44.70000076293945
2001-05-23,45.0
2001-05-24,46.29999923706055
2001-05-25,46.0
2001-05-29,42.5
2001-05-30,37.20000076293945
2001-05-31,38.900001525878906
2001-06-01,39.5
2001-06-04,39.5
2001-06-05,38.29999923706055
2001-06-06,40.599998474121094
2001-06-07,40.0
2001-06-08,38.70000076293945
2001-06-11,38.70000076293945
2001-06-12,39.70000076293945
2001-06-13,38.099998474121094
2001-06-14,35.599998474121094
2001-06-15,33.79999923706055
2001-06-18,27.700000762939453
2001-06-19,27.5
2001-06-20,29.299999237060547
2001-06-21,27.899999618530273
2001-06-22,29.200000762939453
2001-06-25,29.600000381469727
2001-06-26,31.100000381469727
2001-06-27,30.899999618530273
2001-06-28,31.100000381469727
2001-06-29,38.400001525878906
2001-07-02,35.70000076293945
2001-07-03,34.599998474121094
2001-07-05,37.099998474121094
2001-07-06,34.70000076293945
2001-07-09,33.400001525878906
2001-07-10,32.900001525878906
2001-07-11,30.100000381469727
2001-07-12,34.20000076293945
2001-07-13,33.900001525878906
2001-07-16,31.899999618530273
2001-07-17,33.29999923706055
2001-07-18,31.5
2001-07-19,32.900001525878906
2001-07-20,31.600000381469727
2001-07-23,31.200000762939453
2001-07-24,33.29999923706055
2001-07-25,21.399999618530273
2001-07-26,21.0
2001-07-27,21.799999237060547
2001-07-30,21.600000381469727
2001-07-31,20.899999618530273
2001-08-01,20.600000381469727
2001-08-02,21.799999237060547
2001-08-03,21.399999618530273
2001-08-06,21.5
2001-08-07,20.899999618530273
2001-08-08,20.399999618530273
2001-08-09,20.399999618530273
2001-08-10,19.799999237060547
2001-08-13,18.5
2001-08-14,17.5
2001-08-15,15.699999809265137
2001-08-16,17.899999618530273
2001-08-17,17.0
2001-08-20,16.5
2001-08-21,15.899999618530273
2001-08-22,16.100000381469727
2001-08-23,15.199999809265137
2001-08-24,14.600000381469727
2001-08-27,12.300000190734863
2001-08-28,12.699999809265137
2001-08-29,12.300000190734863
2001-08-30,11.100000381469727
2001-08-31,12.0
2001-09-04,12.100000381469727
2001-09-05,13.600000381469727
2001-09-06,14.800000190734863
2001-09-07,13.199999809265137
2001-09-10,14.0
2001-09-17,12.100000381469727
2001-09-18,11.800000190734863
2001-09-19,12.899999618530273
2001-09-20,12.300000190734863
2001-09-21,11.600000381469727
2001-09-24,12.699999809265137
2001-09-25,13.699999809265137
2001-09-26,14.300000190734863
2001-09-27,14.100000381469727
2001-09-28,14.399999618530273
2001-10-01,14.0
2001-10-02,14.600000381469727
2001-10-03,15.600000381469727
2001-10-04,16.899999618530273
2001-10-05,16.100000381469727
2001-10-08,15.399999618530273
2001-10-09,13.800000190734863
2001-10-10,15.199999809265137
2001-10-11,18.799999237060547
2001-10-12,17.799999237060547
2001-10-15,17.600000381469727
2001-10-16,18.799999237060547
2001-10-17,20.399999618530273
2001-10-18,20.899999618530273
2001-10-19,19.799999237060547
2001-10-22,20.200000762939453
2001-10-23,21.5
2001-10-24,17.100000381469727
2001-10-25,17.100000381469727
2001-10-26,16.700000762939453
2001-10-29,16.799999237060547
2001-10-30,15.399999618530273
2001-10-31,15.800000190734863
2001-11-01,16.0
2001-11-02,15.300000190734863
2001-11-05,16.700000762939453
2001-11-06,16.899999618530273
2001-11-07,16.299999237060547
2001-11-08,16.700000762939453
2001-11-09,16.399999618530273
2001-11-12,16.200000762939453
2001-11-13,17.100000381469727
2001-11-14,19.799999237060547
2001-11-15,23.200000762939453
2001-11-16,23.600000381469727
2001-11-19,27.100000381469727
2001-11-20,24.5
2001-11-21,24.600000381469727
2001-11-23,25.399999618530273
2001-11-26,24.0
2001-11-27,22.600000381469727
2001-11-28,21.0
2001-11-29,22.200000762939453
2001-11-30,20.399999618530273
2001-12-03,19.700000762939453
2001-12-04,21.0
2001-12-05,22.5
2001-12-06,21.799999237060547
2001-12-07,22.299999237060547
2001-12-10,22.100000381469727
2001-12-11,23.700000762939453
2001-12-12,23.5
2001-12-13,21.799999237060547
2001-12-14,22.5
2001-12-17,21.899999618530273
2001-12-18,22.0
2001-12-19,20.700000762939453
2001-12-20,19.700000762939453
2001-12-21,20.5
2001-12-24,20.600000381469727
2001-12-26,21.299999237060547
2001-12-27,20.899999618530273
2001-12-28,21.399999618530273
2001-12-31,20.5
2002-01-02,21.100000381469727
2002-01-03,22.899999618530273
2002-01-04,23.200000762939453
2002-01-07,22.5
2002-01-08,23.0
2002-01-09,22.100000381469727
2002-01-10,26.0
2002-01-11,26.799999237060547
2002-01-14,27.100000381469727
2002-01-15,26.5
2002-01-16,24.200000762939453
2002-01-17,24.600000381469727
2002-01-18,23.5
2002-01-22,22.5
2002-01-23,23.299999237060547
2002-01-24,23.399999618530273
2002-01-25,22.600000381469727
2002-01-28,22.600000381469727
2002-01-29,21.0
2002-01-30,23.100000381469727
2002-01-31,20.700000762939453
2002-02-01,20.899999618530273
2002-02-04,19.899999618530273
2002-02-05,18.200000762939453
2002-02-06,17.799999237060547
2002-02-07,16.799999237060547
2002-02-08,17.200000762939453
2002-02-11,18.299999237060547
2002-02-12,18.0
2002-02-13,18.200000762939453
2002-02-14,16.899999618530273
2002-02-15,16.700000762939453
2002-02-19,15.5
2002-02-20,17.100000381469727
2002-02-21,16.0
2002-02-22,16.0
2002-02-25,15.199999809265137
2002-02-26,15.199999809265137
2002-02-27,15.199999809265137
2002-02-28,13.5
2002-03-01,14.5
2002-03-04,18.0
2002-03-05,18.0
2002-03-06,17.399999618530273
2002-03-07,16.899999618530273
2002-03-08,17.200000762939453
2002-03-11,17.5
2002-03-12,16.700000762939453
2002-03-13,16.200000762939453
2002-03-14,16.5
2002-03-15,16.100000381469727
2002-03-18,18.399999618530273
2002-03-19,17.0
2002-03-20,16.600000381469727
2002-03-21,16.899999618530273
2002-03-22,17.0
2002-03-25,16.700000762939453
2002-03-26,16.399999618530273
2002-03-27,15.800000190734863
2002-03-28,15.199999809265137
2002-04-01,16.5
2002-04-02,15.399999618530273
2002-04-03,15.100000381469727
2002-04-04,15.100000381469727
2002-04-05,15.699999809265137
2002-04-08,15.199999809265137
2002-04-09,14.5
2002-04-10,14.600000381469727
2002-04-11,13.699999809265137
2002-04-12,14.600000381469727
2002-04-15,14.199999809265137
2002-04-16,13.800000190734863
2002-04-17,13.600000381469727
2002-04-18,13.300000190734863
2002-04-19,13.300000190734863
2002-04-22,12.5
2002-04-23,11.699999809265137
2002-04-24,12.5
2002-04-25,12.300000190734863
2002-04-26,12.600000381469727
2002-04-29,11.699999809265137
2002-04-30,11.699999809265137
2002-05-01,11.199999809265137
2002-05-02,10.600000381469727
2002-05-03,9.899999618530273
2002-05-06,9.100000381469727
2002-05-07,8.199999809265137
2002-05-08,9.300000190734863
2002-05-09,9.100000381469727
2002-05-10,7.900000095367432
2002-05-13,7.900000095367432
2002-05-14,7.900000095367432
2002-05-15,7.5
2002-05-16,10.899999618530273
2002-05-17,10.800000190734863
2002-05-20,10.300000190734863
2002-05-21,9.5
2002-05-22,9.0
2002-05-23,9.5
2002-05-24,9.699999809265137
2002-05-28,9.699999809265137
2002-05-29,8.699999809265137
2002-05-30,8.5
2002-05-31,8.199999809265137
2002-06-03,7.699999809265137
2002-06-04,8.300000190734863
2002-06-05,8.0
2002-06-06,7.599999904632568
2002-06-07,7.699999809265137
2002-06-10,7.599999904632568
2002-06-11,7.400000095367432
2002-06-12,7.300000190734863
2002-06-13,7.099999904632568
2002-06-14,7.0
2002-06-17,7.199999809265137
2002-06-18,7.0
2002-06-19,6.699999809265137
2002-06-20,6.800000190734863
2002-06-21,6.5
2002-06-24,6.400000095367432
2002-06-25,6.0
2002-06-26,5.800000190734863
2002-06-27,5.599999904632568
2002-06-28,4.099999904632568
2002-07-01,5.199999809265137
2002-07-02,4.599999904632568
2002-07-03,4.599999904632568
2002-07-05,5.099999904632568
2002-07-08,5.699999809265137
2002-07-09,5.599999904632568
2002-07-10,5.400000095367432
2002-07-11,5.699999809265137
2002-07-12,5.800000190734863
2002-07-15,6.0
2002-07-16,6.900000095367432
2002-07-17,7.199999809265137
2002-07-18,6.699999809265137
2002-07-19,6.699999809265137
2002-07-22,6.800000190734863
2002-07-23,7.199999809265137
2002-07-24,6.199999809265137
2002-07-25,5.0
2002-07-26,4.5
2002-07-29,4.699999809265137
2002-07-30,4.699999809265137
2002-07-31,4.5
2002-08-01,4.300000190734863
2002-08-02,3.9000000953674316
2002-08-05,4.199999809265137
2002-08-06,4.800000190734863
2002-08-07,4.800000190734863
2002-08-08,4.900000095367432
2002-08-09,5.099999904632568
2002-08-12,5.099999904632568
2002-08-13,4.5
2002-08-14,4.800000190734863
2002-08-15,4.300000190734863
2002-08-16,4.900000095367432
2002-08-19,5.300000190734863
2002-08-20,5.099999904632568
2002-08-21,5.300000190734863
2002-08-22,5.599999904632568
2002-08-23,6.199999809265137
2002-08-26,6.099999904632568
2002-08-27,5.800000190734863
2002-08-28,5.400000095367432
2002-08-29,5.400000095367432
2002-08-30,5.199999809265137
2002-09-03,4.800000190734863
2002-09-04,5.0
2002-09-05,5.199999809265137
2002-09-06,5.099999904632568
2002-09-09,4.900000095367432
2002-09-10,5.0
2002-09-11,5.0
2002-09-12,4.599999904632568
2002-09-13,4.510000228881836
2002-09-16,4.420000076293945
2002-09-17,3.7899999618530273
2002-09-18,4.139999866485596
2002-09-19,4.329999923706055
2002-09-20,4.400000095367432
2002-09-23,4.929999828338623
2002-09-24,5.179999828338623
2002-09-25,4.980000019073486
2002-09-26,4.949999809265137
2002-09-27,4.860000133514404
2002-09-30,4.599999904632568
2002-10-01,4.710000038146973
2002-10-02,4.75
2002-10-03,4.75
2002-10-04,4.579999923706055
2002-10-07,4.599999904632568
2002-10-08,4.380000114440918
2002-10-09,4.239999771118164
2002-10-10,4.53000020980835
2002-10-11,4.650000095367432
2002-10-14,4.699999809265137
2002-10-15,4.840000152587891
2002-10-16,4.639999866485596
2002-10-17,4.659999847412109
2002-10-18,4.690000057220459
2002-10-21,4.900000095367432
2002-10-22,4.940000057220459
2002-10-23,5.239999771118164
2002-10-24,6.639999866485596
2002-10-25,7.409999847412109
2002-10-28,7.059999942779541
2002-10-29,6.730000019073486
2002-10-30,7.050000190734863
2002-10-31,8.109999656677246
2002-11-01,8.369999885559082
2002-11-04,8.949999809265137
2002-11-05,8.890000343322754
2002-11-06,9.569999694824219
2002-11-07,9.699999809265137
2002-11-08,8.720000267028809
2002-11-11,8.140000343322754
2002-11-12,8.5
2002-11-13,8.880000114440918
2002-11-14,9.020000457763672
2002-11-15,9.079999923706055
2002-11-18,9.350000381469727
2002-11-19,9.220000267028809
2002-11-20,9.239999771118164
2002-11-21,9.779999732971191
2002-11-22,9.789999961853027
2002-11-25,11.34000015258789
2002-11-26,10.600000381469727
2002-11-27,11.510000228881836
2002-11-29,11.34000015258789
2002-12-02,11.350000381469727
2002-12-03,11.039999961853027
2002-12-04,10.789999961853027
2002-12-05,10.520000457763672
2002-12-06,10.710000038146973
2002-12-09,9.529999732971191
2002-12-10,9.8100004196167
2002-12-11,9.800000190734863
2002-12-12,10.15999984741211
2002-12-13,9.699999809265137
2002-12-16,9.640000343322754
2002-12-17,9.729999542236328
2002-12-18,9.050000190734863
2002-12-19,9.079999923706055
2002-12-20,9.199999809265137
2002-12-23,9.0
2002-12-24,8.770000457763672
2002-12-26,8.479999542236328
2002-12-27,8.710000038146973
2002-12-30,8.420000076293945
2002-12-31,8.4399995803833
2003-01-02,8.850000381469727
2003-01-03,9.4399995803833
2003-01-06,9.5600004196167
2003-01-07,9.949999809265137
2003-01-08,9.470000267028809
2003-01-09,9.880000114440918
2003-01-10,10.100000381469727
2003-01-13,10.109999656677246
2003-01-14,10.399999618530273
2003-01-15,10.260000228881836
2003-01-16,10.329999923706055
2003-01-17,9.90999984741211
2003-01-21,9.600000381469727
2003-01-22,9.5
2003-01-23,9.680000305175781
2003-01-24,9.630000114440918
2003-01-27,9.5
2003-01-28,9.819999694824219
2003-01-29,10.420000076293945
2003-01-30,10.90999984741211
2003-01-31,11.0
2003-02-03,11.1899995803833
2003-02-04,10.859999656677246
2003-02-05,10.789999961853027
2003-02-06,10.699999809265137
2003-02-07,10.710000038146973
2003-02-10,10.84000015258789
2003-02-11,10.899999618530273
2003-02-12,10.9399995803833
2003-02-13,10.800000190734863
2003-02-14,10.899999618530273
2003-02-18,11.039999961853027
2003-02-19,11.84000015258789
2003-02-20,11.4399995803833
2003-02-21,11.789999961853027
2003-02-24,12.220000267028809
2003-02-25,11.920000076293945
2003-02-26,11.960000038146973
2003-02-27,11.779999732971191
2003-02-28,11.600000381469727
2003-03-03,11.739999771118164
2003-03-04,11.739999771118164
2003-03-05,11.699999809265137
2003-03-06,11.609999656677246
2003-03-07,11.34000015258789
2003-03-10,11.09000015258789
2003-03-11,9.220000267028809
2003-03-12,9.0600004196167
2003-03-13,9.420000076293945
2003-03-14,9.359999656677246
2003-03-17,9.899999618530273
2003-03-18,10.649999618530273
2003-03-19,10.239999771118164
2003-03-20,10.0600004196167
2003-03-21,10.229999542236328
2003-03-24,10.050000190734863
2003-03-25,9.979999542236328
2003-03-26,10.25
2003-03-27,11.0600004196167
2003-03-28,11.079999923706055
2003-03-31,10.829999923706055
2003-04-01,10.930000305175781
2003-04-02,11.319999694824219
2003-04-03,13.010000228881836
2003-04-04,12.180000305175781
2003-04-07,11.989999771118164
2003-04-08,11.609999656677246
2003-04-09,11.550000190734863
2003-04-10,11.850000381469727
2003-04-11,12.300000190734863
2003-04-14,12.779999732971191
2003-04-15,12.399999618530273
2003-04-16,12.460000038146973
2003-04-17,12.899999618530273
2003-04-21,13.109999656677246
2003-04-22,12.899999618530273
2003-04-23,12.979999542236328
2003-04-24,12.800000190734863
2003-04-25,12.609999656677246
