,EZJ
2015-04-23,35.349998474121094
2015-04-24,35.483333587646484
2015-04-27,35.58000183105469
2015-04-28,35.6533317565918
2015-04-29,35.08333206176758
2015-04-30,33.246665954589844
2015-05-01,33.97666549682617
2015-05-04,34.349998474121094
2015-05-05,33.029998779296875
2015-05-06,33.016666412353516
2015-05-07,32.9466667175293
2015-05-08,34.663333892822266
2015-05-11,33.70333480834961
2015-05-12,33.573333740234375
2015-05-13,33.970001220703125
2015-05-14,34.28333282470703
2015-05-15,34.616668701171875
2015-05-18,35.28666687011719
2015-05-19,35.23666763305664
2015-05-20,35.456668853759766
2015-05-21,35.483333587646484
2015-05-22,35.369998931884766
2015-05-26,34.5
2015-05-27,34.92333221435547
2015-05-28,34.733333587646484
2015-05-29,34.116668701171875
2015-06-01,34.49333190917969
2015-06-02,34.336666107177734
2015-06-03,34.57666778564453
2015-06-04,34.130001068115234
2015-06-05,33.686668395996094
2015-06-08,33.27333450317383
2015-06-09,32.6533317565918
2015-06-10,33.633331298828125
2015-06-11,34.003334045410156
2015-06-12,33.58000183105469
2015-06-15,33.83333206176758
2015-06-16,33.470001220703125
2015-06-17,32.89666748046875
2015-06-18,33.11333465576172
2015-06-19,33.09000015258789
2015-06-22,34.086666107177734
2015-06-23,34.83000183105469
2015-06-24,34.143333435058594
2015-06-25,34.25666809082031
2015-06-26,34.52333450317383
2015-06-29,32.88999938964844
2015-06-30,33.12666702270508
2015-07-01,33.619998931884766
2015-07-02,33.61000061035156
2015-07-06,33.176666259765625
2015-07-07,33.29999923706055
2015-07-08,30.57666778564453
2015-07-09,31.303333282470703
2015-07-10,32.37333297729492
2015-07-13,33.09333419799805
2015-07-14,33.5966682434082
2015-07-15,33.4466667175293
2015-07-16,33.753334045410156
2015-07-17,33.883331298828125
2015-07-20,33.883331298828125
2015-07-21,33.689998626708984
2015-07-22,33.356666564941406
2015-07-23,33.22666549682617
2015-07-24,32.68333435058594
2015-07-27,32.366668701171875
2015-07-28,32.39666748046875
2015-07-29,33.08333206176758
2015-07-30,33.12666702270508
2015-07-31,33.48666763305664
2015-08-03,33.17333221435547
2015-08-04,33.290000915527344
2015-08-05,33.6966667175293
2015-08-06,33.34333419799805
2015-08-07,33.34333419799805
2015-08-10,34.633331298828125
2015-08-11,33.43333435058594
2015-08-12,33.029998779296875
2015-08-13,33.366668701171875
2015-08-14,33.563331604003906
2015-08-17,33.63999938964844
2015-08-18,33.08333206176758
2015-08-19,32.43333435058594
2015-08-20,30.643333435058594
2015-08-21,28.463333129882812
2015-08-24,26.613332748413086
2015-08-25,26.906667709350586
2015-08-26,28.8799991607666
2015-08-27,29.92333221435547
2015-08-28,30.266666412353516
2015-08-31,29.34666633605957
2015-09-01,26.68000030517578
2015-09-02,27.553333282470703
2015-09-03,27.983333587646484
2015-09-04,26.183332443237305
2015-09-08,27.44333267211914
2015-09-09,27.50666618347168
2015-09-10,27.18666648864746
2015-09-11,26.90333366394043
2015-09-14,27.176666259765625
2015-09-15,27.64666748046875
2015-09-16,28.139999389648438
2015-09-17,28.126667022705078
2015-09-18,26.356666564941406
2015-09-21,26.616666793823242
2015-09-22,25.559999465942383
2015-09-23,25.860000610351562
2015-09-24,25.406667709350586
2015-09-25,26.643333435058594
2015-09-28,25.46666717529297
2015-09-29,24.886667251586914
2015-09-30,25.780000686645508
2015-10-01,26.1200008392334
2015-10-02,26.803333282470703
2015-10-05,28.136667251586914
2015-10-06,27.713333129882812
2015-10-07,28.50666618347168
2015-10-08,28.74333381652832
2015-10-09,28.829999923706055
2015-10-12,28.97333335876465
2015-10-13,28.350000381469727
2015-10-14,27.69333267211914
2015-10-15,29.15999984741211
2015-10-16,29.43666648864746
2015-10-19,29.15333366394043
2015-10-20,28.816667556762695
2015-10-21,29.52666664123535
2015-10-22,30.273332595825195
