,ESSCU
2020-08-18,10.100000381469727
2020-08-19,10.149999618530273
2020-08-20,10.149999618530273
2020-08-21,10.149999618530273
2020-08-24,10.149999618530273
2020-08-25,10.149999618530273
2020-08-26,10.149999618530273
2020-08-27,10.149999618530273
2020-08-28,10.100000381469727
2020-08-31,10.100000381469727
2020-09-01,10.130000114440918
2020-09-02,10.180000305175781
2020-09-03,10.109999656677246
2020-09-04,10.140000343322754
2020-09-08,10.170999526977539
2020-09-09,10.170999526977539
2020-09-10,10.100000381469727
2020-09-11,10.220000267028809
2020-09-14,10.229999542236328
2020-09-15,10.229999542236328
2020-09-16,10.170000076293945
2020-09-17,10.420000076293945
2020-09-18,10.239999771118164
2020-09-21,10.25
2020-09-22,10.239999771118164
2020-09-23,10.199999809265137
2020-09-24,10.140000343322754
2020-09-25,10.1899995803833
2020-09-28,10.180000305175781
2020-09-29,10.199999809265137
2020-09-30,10.199999809265137
2020-10-01,10.149999618530273
2020-10-02,10.130000114440918
2020-10-05,10.192999839782715
2020-10-06,10.130000114440918
2020-10-07,10.100000381469727
2020-10-08,10.079999923706055
2020-10-09,10.555000305175781
2020-10-12,10.100000381469727
2020-10-13,10.220000267028809
2020-10-14,10.220000267028809
2020-10-15,10.220000267028809
2020-10-16,10.144000053405762
2020-10-19,10.210000038146973
2020-10-20,10.210000038146973
2020-10-21,10.109999656677246
2020-10-22,10.109999656677246
2020-10-23,10.100000381469727
2020-10-26,10.222999572753906
2020-10-27,10.222999572753906
2020-10-28,10.079999923706055
2020-10-29,9.979999542236328
2020-10-30,9.989999771118164
2020-11-02,9.979999542236328
2020-11-03,10.010000228881836
2020-11-04,10.029999732971191
2020-11-05,10.039999961853027
2020-11-06,10.088000297546387
2020-11-09,10.220000267028809
2020-11-10,10.0600004196167
2020-11-11,10.130000114440918
2020-11-12,10.130000114440918
2020-11-13,10.3100004196167
2020-11-16,10.3100004196167
2020-11-17,10.196000099182129
2020-11-18,10.25
2020-11-19,10.119999885559082
2020-11-20,10.15999984741211
2020-11-23,10.289999961853027
2020-11-24,10.289999961853027
2020-11-25,10.289999961853027
2020-11-27,10.289999961853027
2020-11-30,10.418999671936035
2020-12-01,10.418999671936035
2020-12-02,10.418999671936035
2020-12-03,10.418999671936035
2020-12-04,10.5
2020-12-07,10.529999732971191
2020-12-08,10.529999732971191
2020-12-09,10.529999732971191
2020-12-10,10.529999732971191
2020-12-11,10.529999732971191
2020-12-14,10.529999732971191
2020-12-15,10.529999732971191
2020-12-16,10.529999732971191
2020-12-17,10.5
2020-12-18,10.5
2020-12-21,10.5
2020-12-22,10.5
2020-12-23,10.5
2020-12-24,10.720000267028809
2020-12-28,11.199999809265137
2020-12-29,11.100000381469727
2020-12-30,11.100000381469727
2020-12-31,11.100000381469727
2021-01-04,11.100000381469727
2021-01-05,11.100000381469727
2021-01-06,12.300999641418457
2021-01-07,12.300999641418457
2021-01-08,12.300999641418457
2021-01-11,13.109999656677246
2021-01-12,13.109999656677246
2021-01-13,13.109999656677246
2021-01-14,11.800000190734863
2021-01-15,11.199999809265137
2021-01-19,11.210000038146973
2021-01-20,11.210000038146973
2021-01-21,11.210000038146973
2021-01-22,11.149999618530273
2021-01-25,11.149999618530273
2021-01-26,11.149999618530273
2021-01-27,11.100000381469727
2021-01-28,11.100000381469727
2021-01-29,11.100000381469727
2021-02-01,11.100000381469727
2021-02-02,11.100000381469727
2021-02-03,11.100000381469727
2021-02-04,11.100000381469727
2021-02-05,11.100000381469727
2021-02-08,11.100000381469727
2021-02-09,11.350000381469727
2021-02-10,10.680000305175781
2021-02-11,10.680000305175781
2021-02-12,10.680000305175781
2021-02-16,10.0
2021-02-17,10.0
2021-02-18,11.13599967956543
2021-02-19,10.800000190734863
2021-02-22,10.529999732971191
2021-02-23,10.529999732971191
2021-02-24,10.529999732971191
2021-02-25,10.529999732971191
2021-02-26,10.529999732971191
2021-03-01,10.654999732971191
2021-03-02,10.609999656677246
2021-03-03,10.529999732971191
2021-03-04,10.65999984741211
2021-03-05,10.65999984741211
2021-03-08,10.65999984741211
2021-03-09,10.579999923706055
2021-03-10,11.170000076293945
2021-03-11,11.170000076293945
2021-03-12,11.34000015258789
2021-03-15,11.5600004196167
2021-03-16,11.5600004196167
2021-03-17,11.5600004196167
2021-03-18,11.5600004196167
2021-03-19,11.5600004196167
2021-03-22,10.899999618530273
2021-03-23,10.899999618530273
2021-03-24,10.899999618530273
2021-03-25,10.430000305175781
2021-03-26,10.470000267028809
2021-03-29,11.071999549865723
2021-03-30,11.071999549865723
2021-03-31,10.399999618530273
2021-04-01,10.918000221252441
2021-04-05,10.918000221252441
2021-04-06,10.918000221252441
2021-04-07,10.918000221252441
2021-04-08,10.918000221252441
2021-04-09,10.918000221252441
2021-04-12,10.918000221252441
2021-04-13,10.918000221252441
2021-04-14,10.918000221252441
2021-04-15,10.918000221252441
2021-04-16,10.918000221252441
2021-04-19,10.918000221252441
2021-04-20,10.918000221252441
2021-04-21,10.918000221252441
2021-04-22,10.918000221252441
2021-04-23,10.918000221252441
2021-04-26,10.918000221252441
2021-04-27,10.918000221252441
2021-04-28,10.918000221252441
2021-04-29,10.40999984741211
2021-04-30,10.470000267028809
2021-05-03,10.470000267028809
2021-05-04,10.399999618530273
2021-05-05,10.470000267028809
2021-05-06,10.4399995803833
2021-05-07,10.4399995803833
2021-05-10,10.4399995803833
2021-05-11,10.4399995803833
2021-05-12,10.4399995803833
2021-05-13,10.4399995803833
2021-05-14,10.4399995803833
