,BSMN
2020-11-04,25.549999237060547
2020-11-05,25.559999465942383
2020-11-06,25.549999237060547
2020-11-09,25.549999237060547
2020-11-10,25.559999465942383
2020-11-11,25.559999465942383
2020-11-12,25.56999969482422
2020-11-13,25.56999969482422
2020-11-16,25.540000915527344
2020-11-17,25.545000076293945
2020-11-18,25.545000076293945
2020-11-19,25.549999237060547
2020-11-20,25.594999313354492
2020-11-23,25.594999313354492
2020-11-24,25.594999313354492
2020-11-25,25.540000915527344
2020-11-27,25.549999237060547
2020-11-30,25.600000381469727
2020-12-01,25.540000915527344
2020-12-02,25.579999923706055
2020-12-03,25.549999237060547
2020-12-04,25.549999237060547
2020-12-07,25.579999923706055
2020-12-08,25.579999923706055
2020-12-09,25.610000610351562
2020-12-10,25.584999084472656
2020-12-11,25.579999923706055
2020-12-14,25.618000030517578
2020-12-15,25.579999923706055
2020-12-16,25.579999923706055
2020-12-17,25.59000015258789
2020-12-18,25.584999084472656
2020-12-21,25.594999313354492
2020-12-22,25.6299991607666
2020-12-23,25.6299991607666
2020-12-24,25.614999771118164
2020-12-28,25.6299991607666
2020-12-29,25.649999618530273
2020-12-30,25.649999618530273
2020-12-31,25.614999771118164
2021-01-04,25.6299991607666
2021-01-05,25.648000717163086
2021-01-06,25.649999618530273
2021-01-07,25.649999618530273
2021-01-08,25.649999618530273
2021-01-11,25.649999618530273
2021-01-12,25.649999618530273
2021-01-13,25.649999618530273
2021-01-14,25.649999618530273
2021-01-15,25.649999618530273
2021-01-19,25.639999389648438
2021-01-20,25.639999389648438
2021-01-21,25.65999984741211
2021-01-22,25.65999984741211
2021-01-25,25.6299991607666
2021-01-26,25.639999389648438
2021-01-27,25.68000030517578
2021-01-28,25.645000457763672
2021-01-29,25.674999237060547
2021-02-01,25.645000457763672
2021-02-02,25.645000457763672
2021-02-03,25.645000457763672
2021-02-04,25.645000457763672
2021-02-05,25.649999618530273
2021-02-08,25.68000030517578
2021-02-09,25.684999465942383
2021-02-10,25.674999237060547
2021-02-11,25.670000076293945
2021-02-12,25.65999984741211
2021-02-16,25.700000762939453
2021-02-17,25.670000076293945
2021-02-18,25.649999618530273
2021-02-19,25.645000457763672
2021-02-22,25.6200008392334
2021-02-23,25.60300064086914
2021-02-24,25.6200008392334
2021-02-25,25.610000610351562
2021-02-26,25.610000610351562
2021-03-01,25.6299991607666
2021-03-02,25.6299991607666
2021-03-03,25.600000381469727
2021-03-04,25.614999771118164
2021-03-05,25.614999771118164
2021-03-08,25.625
2021-03-09,25.6299991607666
2021-03-10,25.635000228881836
2021-03-11,25.639999389648438
2021-03-12,25.6299991607666
2021-03-15,25.645000457763672
2021-03-16,25.655000686645508
2021-03-17,25.68000030517578
2021-03-18,25.6299991607666
2021-03-19,25.6299991607666
2021-03-22,25.604999542236328
2021-03-23,25.614999771118164
2021-03-24,25.649999618530273
2021-03-25,25.660999298095703
2021-03-26,25.6299991607666
2021-03-29,25.631999969482422
2021-03-30,25.639999389648438
2021-03-31,25.625
2021-04-01,25.6299991607666
2021-04-05,25.639999389648438
2021-04-06,25.641000747680664
2021-04-07,25.6299991607666
2021-04-08,25.639999389648438
2021-04-09,25.639999389648438
2021-04-12,25.639999389648438
2021-04-13,25.649999618530273
2021-04-14,25.663000106811523
2021-04-15,25.684999465942383
2021-04-16,25.670000076293945
2021-04-19,25.690000534057617
2021-04-20,25.65999984741211
2021-04-21,25.65999984741211
2021-04-22,25.670000076293945
2021-04-23,25.670000076293945
2021-04-26,25.665000915527344
2021-04-27,25.670000076293945
2021-04-28,25.709999084472656
2021-04-29,25.649999618530273
2021-04-30,25.700000762939453
2021-05-03,25.639999389648438
2021-05-04,25.639999389648438
2021-05-05,25.68000030517578
2021-05-06,25.690000534057617
2021-05-07,25.649999618530273
2021-05-10,25.670000076293945
2021-05-11,25.670000076293945
2021-05-12,25.635000228881836
2021-05-13,25.670000076293945
2021-05-14,25.655000686645508
