Tipo de actividad,Fecha,Favorito,Título,Distancia,Calorías,Tiempo,Frecuencia cardiaca media,Frecuencia cardiaca máxima,Velocidad media,Velocidad máxima,Ganancia de altura,Altura perdida,Longitud media de zancada,Relación vertical media,Oscilación vertical media,Cadencia media de pedaleo,Cadencia de pedaleo máxima,Normalized Power® (NP®),Training Stress Score®,Potencia media máxima (20 minutos),Potencia media,Potencia máxima,Dificultad,Fluidez,Brazadas totales,Tiempo de ascenso,Duración de la inmersión,Temperatura mínima,Intervalo en superficie,Descompresión,Mejor tiempo de vuelta,Número de vueltas,Temperatura máxima
Ciclismo en ruta,2020-10-26 11:51:33,false,"Bragado Ciclismo en ruta","23,49","715","00:55:30","--","--","25,4","43,6","42","40","0,00","0,0","0,0","84","136","76","0,2","3","45","169","0,0","0,0","3299","55:30","0:00","20,0","0:00","No","55:30.50","1","0,0"
Ciclismo en ruta,2020-10-24 11:51:19,false,"Bragado Ciclismo en ruta","8,04","221","00:21:10","--","--","22,8","44,8","12","17","0,00","0,0","0,0","77","116","230","33,4","103","177","1.709","0,0","0,0","1409","21:10","0:00","18,0","0:00","No","00:55.78","4","0,0"
Ciclismo en ruta,2020-10-23 12:04:08,false,"Bragado Ciclismo en ruta","12,93","427","00:56:10","--","--","13,8","33,7","16","25","0,00","0,0","0,0","72","114","200","54,1","109","161","792","0,0","0,0","2548","56:10","0:00","17,0","0:00","No","56:10.28","1","0,0"
Ciclismo en ruta,2020-10-18 08:35:19,false,"Bragado Ciclismo en ruta","44,38","1.072","01:59:47","--","--","22,2","36,4","90","89","0,00","0,0","0,0","81","118","166","103,1","176","149","612","0,0","0,0","8995","1:59:47","0:00","20,0","0:00","No","59:46.04","2","0,0"
Ciclismo en ruta,2020-10-16 18:29:32,false,"Bragado Ciclismo en ruta","2,88","113","00:07:40,1","--","--","22,5","38,3","5","7","0,00","0,0","0,0","83","138","279","17,4","--","249","751","0,0","0,0","573","7:40,1","0:00","23,0","0:00","No","07:40.14","1","0,0"
Ciclismo en ruta,2020-10-16 18:12:37,false,"Bragado Ciclismo en ruta","2,88","70","00:07:21,8","--","--","23,5","37,1","5","7","0,00","0,0","0,0","76","106","207","9,3","--","160","2.580","0,0","0,0","458","7:21,8","0:00","22,0","0:00","No","07:21.79","1","0,0"
Ciclismo en ruta,2020-10-16 12:04:41,false,"Bragado Ciclismo en ruta","22,00","617","01:02:08","--","--","21,2","30,5","39","30","0,00","0,0","0,0","83","185","185","66,3","199","166","2.413","0,0","0,0","4734","1:02:08","0:00","23,0","0:00","No","01:59.96","4","0,0"
Ciclismo en ruta,2020-10-15 12:32:34,false,"Bragado Ciclismo en ruta","20,14","640","00:54:21","--","--","22,2","30,7","40","35","0,00","0,0","0,0","79","223","207","72,7","209","197","1.706","0,0","0,0","4157","54:21","0:00","18,0","0:00","No","03:10.59","2","0,0"
Ciclismo en ruta,2020-10-13 12:02:44,false,"Bragado Ciclismo en ruta","27,11","734","01:10:16","--","--","23,2","34,3","42","34","0,00","0,0","0,0","87","141","186","76,1","200","175","617","0,0","0,0","5944","1:10:16","0:00","19,0","0:00","No","02:21.07","4","0,0"
Ciclismo en ruta,2020-10-12 11:57:05,false,"Bragado Ciclismo en ruta","22,14","613","00:57:26","--","--","23,1","32,4","39","38","0,00","0,0","0,0","85","117","191","65,7","197","179","558","0,0","0,0","4831","57:26","0:00","19,0","0:00","No","02:03.26","3","0,0"
Ciclismo en ruta,2020-10-10 10:41:44,false,"Bragado Ciclismo en ruta","30,93","885","01:21:32","--","--","22,8","37,4","62","65","0,00","0,0","0,0","82","149","--","0,0","--","--","--","0,0","0,0","6067","1:21:32","0:00","17,0","0:00","No","01:21:32.36","1","0,0"
Ciclismo en ruta,2020-10-06 11:56:50,false,"Bragado Ciclismo en ruta","23,46","643","01:03:21","--","--","22,2","33,4","38","31","0,00","0,0","0,0","87","112","--","0,0","--","--","--","0,0","0,0","5274","1:03:21","0:00","16,0","0:00","No","01:25.04","4","0,0"
Ciclismo en ruta,2020-10-02 12:08:50,false,"Bragado Ciclismo en ruta","22,88","612","01:01:17","--","--","22,4","44,7","51","53","0,00","0,0","0,0","87","117","189","68,6","205","167","475","0,0","0,0","4998","1:01:17","0:00","15,0","0:00","No","02:00.41","4","0,0"
Ciclismo de montaña,2020-09-30 12:42:19,false,"Bragado Ciclismo en ruta","23,13","643","01:02:50","--","--","22,1","33,8","34","29","0,00","0,0","0,0","87","120","--","0,0","--","--","--","0,0","0,0","5093","1:02:50","0:00","21,0","0:00","No","00:58.01","4","0,0"
Ciclismo en ruta,2020-09-18 10:15:30,false,"Bragado Ciclismo en ruta","2,86","89","00:07:49,2","--","--","22,0","34,8","4","6","0,00","0,0","0,0","87","113","--","0,0","--","--","--","0,0","0,0","530","7:49,2","0:00","18,0","0:00","No","07:49.21","1","0,0"
Ciclismo en ruta,2020-09-18 10:00:14,false,"Bragado Ciclismo en ruta","2,85","82","00:07:29,3","--","--","22,8","30,9","3","6","0,00","0,0","0,0","89","106","--","0,0","--","--","--","0,0","0,0","544","7:29,3","0:00","16,0","0:00","No","07:29.30","1","0,0"
Ciclismo en ruta,2020-08-11 16:57:32,false,"Bragado Ciclismo en ruta","2,89","85","00:07:27,4","--","--","23,2","33,9","4","5","0,00","0,0","0,0","82","113","--","0,0","--","--","--","0,0","0,0","491","7:27,4","0:00","12,0","0:00","No","07:27.39","1","0,0"
Ciclismo en ruta,2020-08-11 16:38:45,false,"Bragado Ciclismo en ruta","2,88","78","00:08:24,6","--","--","20,6","25,4","4","8","0,00","0,0","0,0","85","102","--","0,0","--","--","--","0,0","0,0","630","8:24,6","0:00","11,0","0:00","No","08:24.61","1","0,0"
Ciclismo en ruta,2020-08-07 15:18:21,false,"Bragado Ciclismo en ruta","2,92","77","00:09:11,5","--","--","19,1","32,7","8","8","0,00","0,0","0,0","77","117","--","0,0","--","--","--","0,0","0,0","591","9:11,5","0:00","12,0","0:00","No","09:11.46","1","0,0"
Ciclismo en ruta,2020-08-07 15:07:36,false,"Bragado Ciclismo en ruta","2,90","88","00:07:04,1","--","--","24,6","32,6","5","6","0,00","0,0","0,0","79","104","--","0,0","--","--","--","0,0","0,0","472","7:04,1","0:00","13,0","0:00","No","07:04.08","1","0,0"
Ciclismo en ruta,2020-08-06 08:44:48,false,"Bragado Ciclismo en ruta","6,45","177","00:18:23","--","--","21,1","34,1","8","13","0,00","0,0","0,0","80","118","--","0,0","--","--","--","0,0","0,0","1172","18:23","0:00","9,0","0:00","No","18:22.76","1","0,0"
Ciclismo en ruta,2020-08-06 08:29:59,false,"Bragado Ciclismo en ruta","3,14","87","00:08:28,3","--","--","22,2","28,2","3","8","0,00","0,0","0,0","82","101","--","0,0","--","--","--","0,0","0,0","596","8:28,3","0:00","10,0","0:00","No","08:28.30","1","0,0"
Ciclismo en ruta,2020-08-05 14:54:06,false,"Bragado Ciclismo en ruta","16,90","485","00:45:17","--","--","22,4","34,8","31","32","0,00","0,0","0,0","85","125","--","0,0","--","--","--","0,0","0,0","3467","45:17","0:00","19,0","0:00","No","45:16.80","1","0,0"
Ciclismo en ruta,2020-02-11 19:23:05,false,"Bragado Ciclismo en ruta","21,74","629","00:54:13","--","--","24,1","31,0","29","31","0,00","0,0","0,0","87","120","--","0,0","--","--","--","0,0","0,0","4499","54:13","0:00","16,0","0:00","No","00:00.00","1","0,0"
Ciclismo en ruta,2020-02-10 19:21:11,false,"Bragado Ciclismo en ruta","30,08","750","01:02:28","--","--","28,9","40,1","21","22","0,00","0,0","0,0","84","111","217","91,6","221","200","474","0,0","0,0","5167","1:02:28","0:00","13,0","0:00","No","00:00.00","1","0,0"
Ciclismo en ruta,2020-01-30 16:16:47,false,"Bragado Ciclismo en ruta","27,78","671","00:57:48","--","--","28,8","46,4","47","46","0,00","0,0","0,0","83","110","218","86,2","219","194","797","0,0","0,0","4636","57:48","0:00","23,0","0:00","No","00:00.00","1","0,0"
Ciclismo en ruta,2020-01-25 19:01:15,false,"Bragado Ciclismo en ruta","24,87","664","01:04:56","--","--","23,0","35,8","56","58","0,00","0,0","0,0","81","120","--","0,0","--","--","--","0,0","0,0","4498","1:04:56","0:00","24,0","0:00","No","00:00.00","1","0,0"
Ciclismo en ruta,2020-01-24 19:28:04,false,"Bragado Ciclismo en ruta","23,03","637","00:58:20","--","--","23,7","39,7","55","54","0,00","0,0","0,0","87","123","--","0,0","--","--","--","0,0","0,0","4644","58:20","0:00","24,0","0:00","No","00:00.00","1","0,0"
Ciclismo en ruta,2019-10-23 18:01:37,false,"Bragado Ciclismo en ruta","21,24","650","00:44:14","--","--","28,8","39,9","19","24","0,00","0,0","0,0","--","--","--","0,0","--","--","--","0,0","0,0","--","44:14","0:00","15,0","0:00","No","00:00.00","1","0,0"
Ciclismo en ruta,2019-08-16 17:56:33,false,"Juan Martín de Pueyrredón Ciclismo en ruta","30,93","860","01:16:01","155","175","24,4","42,4","259","266","0,00","0,0","0,0","86","146","--","0,0","--","--","--","0,0","0,0","5654","1:16:01","0:00","13,0","0:00","No","00:00.00","1","0,0"
Ciclismo en ruta,2019-08-15 17:45:05,false,"Juan Martín de Pueyrredón Ciclismo en ruta","25,65","750","01:04:17","155","182","23,9","51,1","223","227","0,00","0,0","0,0","87","110","--","0,0","--","--","--","0,0","0,0","4968","1:04:17","0:00","12,0","0:00","No","00:00.00","1","0,0"
Ciclismo en ruta,2019-05-14 18:06:11,false,"Juan Martín de Pueyrredón Ciclismo en ruta","42,07","1.025","01:16:09","163","182","33,1","61,3","334","338","0,00","0,0","0,0","84","125","264","166,4","259","224","943","0,0","0,0","6096","1:16:09","0:00","10,0","0:00","No","00:00.00","1","0,0"
Ciclismo en sala,2019-04-24 20:22:20,false,"Ciclismo indoor","0,00","128","00:14:28","133","154","--","--","--","--","0,00","0,0","0,0","105","115","168","12,5","--","148","249","0,0","0,0","1494","14:28","0:00","18,0","0:00","No","00:00.00","1","0,0"
Ciclismo en sala,2019-04-24 18:53:16,false,"Ciclismo indoor","0,00","925","01:16:00","147","181","--","--","--","--","0,00","0,0","0,0","106","158","226","121,6","237","204","738","0,0","0,0","8096","1:16:00","0:00","17,0","0:00","No","00:00.00","6","0,0"
Ciclismo en sala,2019-04-23 18:10:50,false,"Juan Martín de Pueyrredón Ciclismo en ruta","0,52","1.148","01:46:01","152","180","0,3","2,5","--","--","0,00","0,0","0,0","95","158","211","147,4","205","183","796","0,0","0,0","10057","1:46:01","0:00","18,0","0:00","No","00:00.00","30","0,0"
Ciclismo en ruta,2019-04-16 17:40:52,false,"Juan Martín de Pueyrredón Ciclismo en ruta","8,06","150","00:19:12","--","--","25,2","48,6","28","104","0,00","0,0","0,0","71","105","188","20,8","--","130","795","0,0","0,0","1029","19:12","0:00","21,0","0:00","No","00:00.00","1","0,0"
Ciclismo en ruta,2019-04-16 15:27:12,false,"Juan Martín de Pueyrredón Ciclismo en ruta","5,67","172","00:21:04","--","--","16,1","27,8","97","18","0,00","0,0","0,0","70","112","168","18,3","143","136","367","0,0","0,0","1276","21:04","0:00","23,0","0:00","No","00:00.00","1","0,0"
Ciclismo de montaña,2019-04-13 07:55:05,false,"Juan Martín de Pueyrredón Ciclismo en ruta","160,73","4.789","09:00:42","127","163","17,8","59,5","2.432","2.430","0,00","0,0","0,0","81","133","192","615,8","209","150","972","0,0","0,0","33522","9:00:42","0:00","10,0","0:00","No","02:44:03.17","2","0,0"
Ciclismo en ruta,2019-04-11 18:47:54,false,"Juan Martín de Pueyrredón Ciclismo en ruta","5,46","107","00:09:50,3","--","--","33,3","48,9","14","92","0,00","0,0","0,0","81","101","206","12,5","--","181","618","0,0","0,0","738","9:50,3","0:00","20,0","0:00","No","00:00.00","1","0,0"
Ciclismo en ruta,2019-04-11 15:34:51,false,"Juan Martín de Pueyrredón Ciclismo en ruta","5,62","165","00:15:14","--","--","22,1","33,4","96","15","0,00","0,0","0,0","84","118","207","19,9","--","181","355","0,0","0,0","1150","15:14","0:00","22,0","0:00","No","00:00.00","1","0,0"
Ciclismo en ruta,2019-04-09 18:30:04,false,"Juan Martín de Pueyrredón Ciclismo en ruta","42,68","1.113","01:16:18","154","171","33,6","59,7","331","339","0,00","0,0","0,0","89","126","263","164,9","263","243","682","0,0","0,0","6669","1:16:18","0:00","14,0","0:00","No","00:00.00","1","0,0"
Ciclismo en ruta,2019-04-09 18:14:01,false,"Juan Martín de Pueyrredón Ciclismo en ruta","5,56","111","00:10:20","--","--","32,3","52,4","16","91","0,00","0,0","0,0","73","106","233","16,8","--","179","538","0,0","0,0","709","10:20","0:00","21,0","0:00","No","00:00.00","1","0,0"
Ciclismo en ruta,2019-04-09 17:50:00,false,"Juan Martín de Pueyrredón Ciclismo en ruta","5,39","113","00:12:11","--","--","26,5","38,8","88","15","0,00","0,0","0,0","96","143","181","12,1","--","155","764","0,0","0,0","1019","12:11","0:00","22,0","0:00","No","00:00.00","1","0,0"
Ciclismo en ruta,2019-04-07 19:01:16,false,"Juan Martín de Pueyrredón Ciclismo en ruta","19,04","528","00:55:50","134","165","20,5","48,7","188","163","0,00","0,0","0,0","85","138","--","0,0","--","--","--","0,0","0,0","3646","55:50","0:00","14,0","0:00","No","00:00.00","1","0,0"
Ciclismo gravel/por zonas sin asfaltar,2019-04-07 14:23:06,false,"General Pedernera Ciclismo en ruta","48,68","1.494","01:47:25","168","184","27,2","44,2","71","62","0,00","0,0","0,0","88","161","--","0,0","--","--","--","0,0","0,0","8545","1:47:25","0:00","28,0","0:00","No","00:00.00","1","0,0"
Ciclismo en ruta,2019-04-07 06:34:30,false,"Juan Martín de Pueyrredón Ciclismo en ruta","20,42","489","01:22:22","105","165","14,9","49,6","168","195","0,00","0,0","0,0","85","125","--","0,0","--","--","--","0,0","0,0","4205","1:22:22","0:00","8,0","0:00","No","00:00.00","1","0,0"
Ciclismo en sala,2019-04-04 17:56:56,false,"Juan Martín de Pueyrredón Ciclismo en ruta","0,39","995","01:40:01","138","174","0,2","3,2","1","--","0,00","0,0","0,0","91","175","199","124,4","205","168","772","0,0","0,0","9138","1:40:01","0:00","21,0","0:00","No","00:20.00","32","0,0"
Ciclismo en ruta,2019-04-03 18:09:08,false,"Juan Martín de Pueyrredón Ciclismo en ruta","39,46","975","01:22:58","141","176","28,5","55,9","331","331","0,00","0,0","0,0","90","139","208","112,4","215","196","466","0,0","0,0","7271","1:22:58","0:00","20,0","0:00","No","00:00.00","1","0,0"
Ciclismo de montaña,2019-04-02 09:02:34,false,"Juan Martín de Pueyrredón Ciclismo en ruta","83,23","2.098","04:00:31","148","181","20,8","60,4","1.447","1.525","0,00","0,0","0,0","81","134","--","0,0","--","--","--","0,0","0,0","15676","4:00:31","0:00","19,0","0:00","No","00:20.00","34","0,0"
Ciclismo gravel/por zonas sin asfaltar,2019-03-29 18:09:38,false,"Juan Martín de Pueyrredón Ciclismo en ruta","44,32","1.193","02:00:36","152","178","22,1","56,7","602","608","0,00","0,0","0,0","90","206","--","0,0","--","--","--","0,0","0,0","9000","2:00:36","0:00","14,0","0:00","No","00:35.65","5","0,0"
Ciclismo en ruta,2019-03-29 17:51:19,false,"Juan Martín de Pueyrredón Ciclismo en ruta","4,22","93","00:12:22","111","123","20,5","31,5","28","27","0,00","0,0","0,0","83","126","184","12,7","--","125","875","0,0","0,0","659","12:22","0:00","21,0","0:00","No","00:00.00","1","0,0"
Ciclismo en sala,2019-03-27 18:03:00,false,"Juan Martín de Pueyrredón Ciclismo en ruta","0,38","917","01:33:11","143","179","0,2","2,1","--","--","0,00","0,0","0,0","91","160","195","111,1","218","167","569","0,0","0,0","8362","1:33:11","0:00","19,0","0:00","No","00:20.00","34","0,0"
Ciclismo en ruta,2019-03-23 09:46:08,false,"Juan Martín de Pueyrredón Ciclismo en ruta","47,03","1.296","02:13:51","149","177","21,1","56,4","860","864","0,00","0,0","0,0","89","138","--","0,0","--","--","--","0,0","0,0","10401","2:13:51","0:00","17,0","0:00","No","00:00.00","1","0,0"
Ciclismo en ruta,2019-03-20 17:56:01,false,"Juan Martín de Pueyrredón Ciclismo en ruta","52,16","1.231","02:11:33","147","176","23,8","58,7","442","447","0,00","0,0","0,0","90","120","--","0,0","--","--","--","0,0","0,0","11092","2:11:33","0:00","11,0","0:00","No","11:32.85","5","0,0"
Ciclismo en ruta,2019-03-19 17:38:38,false,"Juan Martín de Pueyrredón Ciclismo en ruta","39,53","1.155","01:57:26","149","172","20,2","62,0","826","814","0,00","0,0","0,0","89","155","--","0,0","--","--","--","0,0","0,0","9022","1:57:26","0:00","8,0","0:00","No","00:20.00","12","0,0"
Ciclismo en ruta,2019-03-18 20:14:43,false,"Juan Martín de Pueyrredón Ciclismo en ruta","39,32","950","01:41:54","149","173","23,2","50,7","431","448","0,00","0,0","0,0","86","135","--","0,0","--","--","--","0,0","0,0","7981","1:41:54","0:00","18,0","0:00","No","00:00.00","1","0,0"
Ciclismo en ruta,2019-03-14 18:07:42,false,"Juan Martín de Pueyrredón Ciclismo en ruta","43,27","889","01:36:35","138","163","26,9","50,1","332","340","0,00","0,0","0,0","85","115","171","88,4","192","154","569","0,0","0,0","7814","1:36:35","0:00","20,0","0:00","No","00:00.00","1","0,0"
Ciclismo en ruta,2019-03-13 18:07:45,false,"Test 2 13/3/19","62,43","1.269","02:14:52","135","174","27,8","61,6","487","488","0,00","0,0","0,0","85","119","204","176,4","190","158","761","0,0","0,0","10684","2:14:52","0:00","19,0","0:00","No","00:00.65","35","0,0"
Ciclismo en ruta,2019-03-12 18:24:08,false,"Test 1 - 12/3/19","62,62","1.380","02:21:41","142","176","26,5","60,8","504","525","0,00","0,0","0,0","85","131","202","181,5","205","163","768","0,0","0,0","11122","2:21:41","0:00","14,0","0:00","No","00:00.00","15","0,0"
Ciclismo en sala,2019-03-11 08:38:08,false,"Mount Field - TrainerRoad","0,00","606","01:02:00","--","--","--","--","--","--","0,00","0,0","0,0","101","124","181","63,0","184","164","256","0,0","0,0","--","1:02:00","0:00","0,0","0:00","No","03:00.00","10","0,0"
Ciclismo en sala,2019-03-09 12:51:09,false,"Ramp Test - TrainerRoad","0,00","267","00:35:54","118","126","--","--","--","--","0,00","0,0","0,0","109","123","155","144,0","168","124","255","0,0","0,0","--","35:54","0:00","0,0","0:00","No","00:09.00","32","0,0"
Ciclismo en ruta,2019-03-07 18:11:18,false,"Juan Martín de Pueyrredón Ciclismo en ruta","39,41","1.055","01:38:37","154","182","24,0","66,3","649","651","0,00","0,0","0,0","76","128","224","83,0","245","178","729","0,0","0,0","6533","1:38:37","0:00","21,0","0:00","No","00:00.00","1","0,0"
Ciclismo en ruta,2019-03-07 11:29:29,false,"Juan Martín de Pueyrredón Ciclismo en ruta","4,42","111","00:12:40","--","--","20,9","50,5","32","36","0,00","0,0","0,0","83","132","271","14,6","--","147","938","0,0","0,0","680","12:40","0:00","25,0","0:00","No","00:00.00","1","0,0"
Ciclismo en ruta,2019-03-06 22:16:11,false,"Juan Martín de Pueyrredón Ciclismo en ruta","12,65","313","00:25:06","--","--","30,2","59,8","114","159","0,00","0,0","0,0","85","125","239","23,9","223","208","698","0,0","0,0","1924","25:06","0:00","16,0","0:00","No","00:00.00","1","0,0"
Ciclismo en ruta,2019-03-06 19:37:49,false,"Juan Martín de Pueyrredón Ciclismo en ruta","12,79","310","00:36:10","--","--","21,2","60,3","150","113","0,00","0,0","0,0","85","113","201","23,9","155","146","442","0,0","0,0","2258","36:10","0:00","21,0","0:00","No","00:00.00","1","0,0"
Ciclismo en ruta,2019-03-05 17:53:47,false,"Juan Martín de Pueyrredón Ciclismo en ruta","52,52","1.325","01:53:37","--","--","27,7","56,6","643","647","0,00","0,0","0,0","94","134","215","88,2","224","194","709","0,0","0,0","10298","1:53:37","0:00","20,0","0:00","No","00:00.00","1","0,0"
Ciclismo en ruta,2019-03-02 14:02:24,false,"Juan Martín de Pueyrredón Ciclismo en ruta","7,55","177","00:28:52","--","--","15,7","25,2","49","46","0,00","0,0","0,0","--","--","--","0,0","--","--","--","0,0","0,0","--","28:52","0:00","27,0","0:00","No","13:15.81","2","0,0"
Ciclismo en ruta,2019-03-02 10:08:58,false,"Juan Martín de Pueyrredón Ciclismo en ruta","46,17","1.028","01:35:20","--","--","29,1","53,1","355","356","0,00","0,0","0,0","87","129","204","66,5","212","180","761","0,0","0,0","7876","1:35:20","0:00","25,0","0:00","No","00:00.00","1","0,0"
