,Fecha,NP,FTP,IF,Seconds,TSS,Fatigue,Fitness,Freshness
42,2020-11-21,204,230,0.8869565217391304,4112,89.85769376181473,54.680062947962504,33.53836326816017,-21.141699679802326
43,2020-11-22,0,230,0.0,0,0.0,47.400938126537454,32.749262148016015,-14.651675978521451
44,2020-11-23,222,230,0.9652173913043478,4434,114.74756143667295,56.36626206631608,34.678543827662665,-21.68771823865341
45,2020-11-24,0,230,0.0,0,0.0,48.862666876816405,33.8626161820415,-15.000050694774911
46,2020-11-25,250,230,1.0869565217391304,5484,179.97794580970384,66.31700818320316,37.300463442431905,-29.016544740771252
47,2020-11-26,0,230,0.0,0,0.0,57.48874877157076,36.42284645054182,-21.065902321028933
48,2020-11-27,200,230,0.8695652173913043,5450,114.47174963243015,65.07444552470557,38.259205501054026,-26.81524002365155
49,2020-11-28,0,230,0.0,0,0.0,56.41159866386437,37.359030925588996,-19.052567738275364
50,2020-11-29,207,230,0.9,3117,70.1325,58.238153867051274,38.13013537546476,-20.10801849158652
51,2020-11-30,205,230,0.8913043478260869,5229,115.39000472589792,65.84632828654533,39.9479297907485,-25.898398495796823
52,2020-12-01,205,230,0.8913043478260869,6572,145.0264125183785,76.38694739744449,42.420249258471024,-33.96669813897346
53,2020-12-02,216,230,0.9391304347826088,2505,61.37013232514178,74.3878774359564,42.866108045166996,-31.52176939078941
54,2020-12-03,0,230,0.0,0,0.0,64.48520695855582,41.85754082308152,-22.6276661354743
55,2020-12-04,0,230,0.0,0,0.0,55.90080077318866,40.87270348662954,-15.028097286559124
56,2020-12-05,183,230,0.7956521739130434,3300,58.030718336483915,56.1843398725735,41.276402636442384,-14.907937236131124
57,2020-12-06,0,230,0.0,0,0.0,48.7049625475869,40.30523850134399,-8.399724046242916
58,2020-12-07,211,230,0.917391304347826,5103,119.29776465028357,58.10242462601767,42.163799408707106,-15.938625217310571
59,2020-12-08,200,240,0.8333333333333334,7924,152.85493827160494,70.71607824646782,44.76817520869342,-25.947903037774395
